,user_id,timestamp,page_location,engagement_time_msec,quiz_part,engagement_time_sec,diff_time
5803,11,2023-04-10 17:26:20.265654,https://lookiero.fr/user/quiz/leisure,3230,leisure,3.23,22.94479
5804,11,2023-04-10 17:26:43.210444,https://lookiero.fr/user/quiz/work,19695,work,19.695,7.920229000000001
5805,11,2023-04-10 17:26:51.130673,https://lookiero.fr/user/quiz/fit,7916,fit,7.916,10.55926
5806,11,2023-04-10 17:27:01.689933,https://lookiero.fr/user/quiz/highlight,10537,highlight,10.537,13.5736
5808,11,2023-04-10 17:27:25.045049,https://lookiero.fr/user/quiz/body-shape,4745,body-shape,4.745,12.901147
5809,11,2023-04-10 17:27:37.946196,https://lookiero.fr/user/quiz/eyes,12771,eyes,12.771,14.016714
5810,11,2023-04-10 17:27:51.962910,https://lookiero.fr/user/quiz/hair,13980,hair,13.98,18.809129000000002
5859,11,2023-04-10 17:28:10.772039,https://lookiero.fr/user/quiz/sizes,18924,sizes,18.924,31.95792
5811,11,2023-04-10 17:28:42.729959,https://lookiero.fr/user/quiz/measurements,36163,measurements,36.163,16.98298
5813,11,2023-04-10 17:28:59.712939,https://lookiero.fr/user/quiz/focus,3752,focus,3.752,25.853091000000003
5817,11,2023-04-10 17:29:25.566030,https://lookiero.fr/user/quiz/adventurous,22058,adventurous,22.058,29.111824000000002
5818,11,2023-04-10 17:29:54.677854,https://lookiero.fr/user/quiz/styles,31672,styles,31.672,58.499691000000006
5759,11,2023-04-10 17:30:53.177545,https://lookiero.fr/user/quiz/prices,55880,prices,55.88,1.4810880000000002
5819,11,2023-04-10 17:30:54.658633,https://lookiero.fr/user/quiz/avoid,6541,avoid,6.541,29.672921000000002
5820,11,2023-04-10 17:31:24.331554,https://lookiero.fr/user/quiz/footwear,24627,footwear,24.627,30.180655
5842,11,2023-04-10 17:31:54.513116,https://lookiero.fr/user/quiz/you,3194,you,3.194,32.341534
5821,11,2023-04-10 17:32:26.854650,https://lookiero.fr/user/quiz/photos,27205,photos,27.205,31.875814000000002
5760,11,2023-04-10 17:32:58.730464,https://lookiero.fr/user/quiz/register,27125,register,27.125,27.125
6813,28,2023-04-10 13:27:45.827273,https://lookiero.fr/user/quiz/work,5082,work,5.082,39.865801000000005
5617,28,2023-04-10 13:28:25.693074,https://lookiero.fr/user/quiz/adventurous,3568,adventurous,3.568,23.764010000000003
6780,28,2023-04-10 13:28:49.457084,https://lookiero.fr/user/quiz/avoid,19717,avoid,19.717,106.26414000000001
6787,28,2023-04-10 13:30:35.721224,https://lookiero.fr/user/quiz/leisure,8201,leisure,8.201,8.818445
5624,28,2023-04-10 13:30:44.539669,https://lookiero.fr/user/quiz/fit,3095,fit,3.095,7.090210000000001
6791,28,2023-04-10 13:31:10.010186,https://lookiero.fr/user/quiz/body-shape,14458,body-shape,14.458,5.150926
5625,28,2023-04-10 13:31:15.161112,https://lookiero.fr/user/quiz/eyes,5143,eyes,5.143,5.252595
6811,28,2023-04-10 13:31:20.413707,https://lookiero.fr/user/quiz/sizes,2796,sizes,2.796,12.477099
5628,28,2023-04-10 13:31:32.890806,https://lookiero.fr/user/quiz/measurements,14690,measurements,14.69,12.936883000000002
5629,28,2023-04-10 13:31:52.476930,https://lookiero.fr/user/quiz/focus,6653,focus,6.653,5.7747720000000005
5631,28,2023-04-10 13:31:58.251702,https://lookiero.fr/user/quiz/styles,4075,styles,4.075,21.48535
6793,28,2023-04-10 13:32:19.737052,https://lookiero.fr/user/quiz/prices,17400,prices,17.4,7.19334
6795,28,2023-04-10 13:32:26.930392,https://lookiero.fr/user/quiz/footwear,3871,footwear,3.871,15.353653000000001
6816,28,2023-04-10 13:32:51.145776,https://lookiero.fr/user/quiz/you,3844,you,3.844,13.453236
6805,28,2023-04-10 13:33:04.599012,https://lookiero.fr/user/quiz/photos,13430,photos,13.43,49.594567000000005
6817,28,2023-04-10 13:33:54.193579,https://lookiero.fr/user/quiz/register,44620,register,44.62,44.62
24067,44,2023-06-29 14:49:28.946444,https://lookiero.es/user/quiz/work,,work,,5.009087
24068,44,2023-06-29 14:49:33.955531,https://lookiero.es/user/quiz/fit,4809,fit,4.809,5.307797000000001
24070,44,2023-06-29 14:49:39.263328,https://lookiero.es/user/quiz/body-shape,3112,body-shape,3.112,13.58937
24072,44,2023-06-29 14:49:52.852698,https://lookiero.es/user/quiz/hair,9359,hair,9.359,8.604089
24074,44,2023-06-29 14:50:01.456787,https://lookiero.es/user/quiz/measurements,6237,measurements,6.237,6.333897
24076,44,2023-06-29 14:50:07.790684,https://lookiero.es/user/quiz/adventurous,3026,adventurous,3.026,6.975484000000001
24080,44,2023-06-29 14:50:14.766168,https://lookiero.es/user/quiz/footwear,1528,footwear,1.528,0.0027960000000000003
24078,44,2023-06-29 14:50:14.768964,https://lookiero.es/user/quiz/prices,5026,prices,5.026,8.765563
24083,44,2023-06-29 14:50:23.534527,https://lookiero.es/user/quiz/register,1789,register,1.789,14.804920000000001
24084,44,2023-06-29 14:50:38.339447,https://lookiero.es/user/quiz/photos,12049,photos,12.049,12.049
31264,50,2023-02-19 09:36:21.874769,https://lookiero.fr/user/quiz,,,,6.898356000000001
31281,50,2023-02-19 09:36:28.773125,https://lookiero.fr/user/quiz/work,6887,work,6.887,7.688782000000001
31282,50,2023-02-19 09:36:36.461907,https://lookiero.fr/user/quiz/fit,7691,fit,7.691,11.984696000000001
31265,50,2023-02-19 09:36:48.446603,https://lookiero.fr/user/quiz/highlight,11962,highlight,11.962,16.322149
31283,50,2023-02-19 09:37:04.768752,https://lookiero.fr/user/quiz/body-shape,16286,body-shape,16.286,25.676000000000002
31266,50,2023-02-19 09:37:30.444752,https://lookiero.fr/user/quiz/eyes,30682,eyes,30.682,9.154115000000001
